,wavelength,silver,aluminium,aluminium oxide,gold,glass,cobalt,chromium,copper,gallium nitride,indium tin oxide,magnesium oxide,nickel,polyethylene,platinum,quartz,silicon,silicon nitride,silicon oxide,titanium,tin oxide,tungsten,air,caesium,iron,lead,lithium,pva,pvc,pvp,zinc,pmma,spr350
10,450,(0.15186307900169074+2.4698222468898656j),(0.6178851869368841+5.469450714574814j),(1.7799750628600726+0j),(1.5092532321920789+1.8789656474441276j),(1.5253879061443485+4.646871074572178e-07j),(1.7296524415342778+3.398739285227804j),(2.3243328096183187+3.135351856145154j),(1.1658757725048436+2.393659212948848j),(2.4820035145884782-0.0019977414720884893j),(2.036+0.04056298000000001j),(1.7523+0j),(1.6344386092275678+2.6538011845268477j),(1.5099846588279373+0j),(1.8458480300773328+3.1493140981741234j),(1.5524999999999998+0j),(4.673460538054208+0.14625360966683856j),(2.0551000000000004-1.925929944387236e-33j),(1.4656+0j),(1.694842091669274+2.2672886792005538j),(3.1405-6.462348535570529e-26j),(3.3092957102312393+2.5260781127675003j),(1+0j),(0.3202543718089109+0.6147365836208204j),(2.585257225226835+2.767253025582817j),(0.387261124772149+4.4820598550972335j),(0.20722879207865985+2.030375556415904j),(1.4928394906431839+0j),(1.55388+1.7099999999999997e-06j),(1.5412554031397998+0.00316840927242193j),(0.677532359655292+4.012364801141506j),(1.4944299999999997+2.24e-07j),(1.6087227500959989+0j)
11,455,(0.14760664519057476+2.518951080207005j),(0.6320369304722331+5.529537061231832j),(1.7800052703855889+0j),(1.4649335488310642+1.8611696656983385j),(1.5248770516989003+4.635718635873706e-07j),(1.7620362219602645+3.4331326430911653j),(2.3649039692565497+3.1595875364585435j),(1.1626580521908396+2.4150477098175793j),(2.4759434696535845-0.0007891111643695203j),(2.028976501799229+0.0406380622732938j),(1.7515+0j),(1.6375215121734459+2.6844980111885053j),(1.5096000000000003+0j),(1.8576745909940993+3.1771657712367296j),(1.5521+0j),(4.62286429563891+0.13093259642454486j),(2.053626332388958+2.4780419886449282e-17j),(1.4651999999999998+0j),(1.7024276963349598+2.279241410376269j),(3.136556662388144+2.0603611013480038e-09j),(3.3095125979314512+2.542070643001839j),(1+0j),(0.31485395404766947+0.6322252332161341j),(2.608311852929408+2.7806461507348583j),(0.3964201848598238+4.539806937218793j),(0.2015547274950868+2.0592280216849286j),(1.4921217712026074+0j),(1.5531069151756491+1.6702620322330588e-06j),(1.540419121455804+0.0031057122869863492j),(0.6885734002053606+4.062358968349791j),(1.493996142022238+2.2208786427766844e-07j),(1.6077159534016832+0j)
12,460,(0.14339224983536472+2.567004488536558j),(0.6462695919643179+5.589904176511323j),(1.7799956328403412+0j),(1.418699526862023+1.8430257321530559j),(1.524479002902249+4.626132346045449e-07j),(1.7891091368782037+3.4660601101039834j),(2.4068978166840287+3.183957791521946j),(1.1595683438637425+2.436121366546356j),(2.470161880988458+0.00011450456983034987j),(2.0221+0.0407613j),(1.7506999999999997+0j),(1.6403994787934517+2.714306682204465j),(1.5092251294038825+0j),(1.8702747788004312+3.204200386525915j),(1.5516+0j),(4.575832682599653+0.12991022059644677j),(2.0522-1.5888922041194696e-33j),(1.4648000000000003+0j),(1.711600877152437+2.292160286477138j),(3.13-1.4217166778255163e-25j),(3.309722024895404+2.5561413076919277j),(1+0j),(0.3108823463682173+0.6484475951748534j),(2.629718365223857+2.7931849085522185j),(0.40588807372703417+4.597553423583287j),(0.19605794870330406+2.087447228921317j),(1.491427108741262+0j),(1.55236+1.64e-06j),(1.5396211784222666+0.003045719320084861j),(0.6998090161860872+4.112124042089723j),(1.49358+2.1300000000000001e-07j),(1.6067449139136323+0j)
13,465,(0.13943823073711598+2.613392773106569j),(0.6604067287278024+5.653658719480257j),(1.7799439543364777+0j),(1.3735831051019647+1.8240855312964568j),(1.5240730042201605+4.6133566109723325e-07j),(1.8131343424132633+3.4981426989919884j),(2.4502884848896196+3.208472573555426j),(1.1568632498127667+2.4571937122860845j),(2.464658748593098+0.0007131057305111206j),(2.0153735333692744+0.04092890497746578j),(1.7500000000000002+0j),(1.6428895881213716+2.7425223237282186j),(1.508860047039584+0j),(1.8829948245501105+3.2312978463078554j),(1.5512+0j),(4.53137829028007+0.13476959970541566j),(2.0507749856466546-4.251647889914793e-18j),(1.4645+0j),(1.722465649649188+2.3060725411218246j),(3.1179909416343836-3.5350207821938354e-10j),(3.3152439923636683+2.5766061721433737j),(1+0j),(0.30692118712183597+0.6654553372252724j),(2.649314949944575+2.8052272505977247j),(0.4156647913737803+4.655299314190714j),(0.19210356131292733+2.115006540952837j),(1.4907550937952956+0j),(1.5518945214517095+1.6173725561105593e-06j),(1.5388593426633914+0.002988346106577914j),(0.7112392075974714+4.1616600223613j),(1.4930440202860855+2.0135497243336918e-07j),(1.605807938652701+0j)
14,470,(0.1358653721139084+2.6588017549224503j),(0.674746257513774+5.7164336361486345j),(1.779867404820745+0j),(1.324220761985019+1.808696013594954j),(1.523666665230268+4.588339400298745e-07j),(1.83971622852822+3.530895809620553j),(2.4951412141076212+3.2327723808696582j),(1.1541566688986113+2.4775484985563603j),(2.459434072467505+0.0010066923176727924j),(2.0088+0.04113761j),(1.7493+0j),(1.6455555015260448+2.770428736570118j),(1.5085038117336+0j),(1.8951677648685588+3.2597696761884043j),(1.5508+0j),(4.491805663575715+0.11955131308526244j),(2.0494000000000003-1.8055593228630336e-34j),(1.4641000000000002+0j),(1.7347720918508025+2.3208267466774513j),(3.1041-6.058451752097371e-27j),(3.325236542621613+2.6006763580010235j),(1+0j),(0.3029704763085251+0.6832484593673909j),(2.666767869499994+2.8175114519697053j),(0.4257503378000621+4.713044609041077j),(0.18876875879913368+2.1403221458229083j),(1.4901040430133132+0j),(1.5514499999999998+1.6e-06j),(1.5381316236523064+0.002933087055628194j),(0.7228639744395136+4.210966909164523j),(1.49249+1.9700000000000003e-07j),(1.6049034344067088+0j)
15,475,(0.1328420845927744+2.7033360627405547j),(0.6894103504114875+5.777173446965058j),(1.7799301923014734+0j),(1.2672206211533388+1.7984456258708459j),(1.5232599269107028+4.575498361988372e-07j),(1.868773247007808+3.563834290777129j),(2.5420710504729875+3.25346804530934j),(1.1512495264503775+2.4968893085381643j),(2.4544878526116776+0.0009952643313153647j),(2.0023822979851253+0.041384147861911524j),(1.7486+0j),(1.6486446966529311+2.7987211402830376j),(1.5081507764449071+0j),(1.9066117473021187+3.2900195232496983j),(1.5505000000000002+0j),(4.4540001222655885+0.10537107922813556j),(2.0481237537311143+7.294674530394748e-19j),(1.4638000000000002+0j),(1.7461640879944451+2.3349953334651583j),(3.091897687805554+6.065136796829684e-11j),(3.3343506566045913+2.6155295040294546j),(1+0j),(0.2990302139282849+0.7018269616012087j),(2.682067010629765+2.8300598846408396j),(0.4361516913283049+4.770795988578102j),(0.18544534791972248+2.1646374531451835j),(1.4894737343900677+0j),(1.5507659561140938+1.5855026311035845e-06j),(1.5374360594224998+0.0028798579020961495j),(0.7346808368651644+4.260047416747192j),(1.4920197362612482+2.0978230112211647e-07j),(1.6040299007279817+0j)
16,480,(0.13106733939050233+2.7461673419432273j),(0.704490432119524+5.838521389582169j),(1.7801732768995373+0j),(1.1944781549846146+1.7936166768140134j),(1.5228550557783334+4.561783799629363e-07j),(1.8988348990348742+3.5945355395828438j),(2.5912297685579313+3.269723223846387j),(1.1478187139251976+2.5150271130036868j),(2.449807531001181+0.0007184945065477869j),(1.9961+0.04166571j),(1.7479+0j),(1.6523859879272342+2.828661442859131j),(1.5078+0j),(1.9176805335637876+3.3216108536155904j),(1.5501+0j),(4.420222705345667+0.09367852923247069j),(2.0469+7.222237291452134e-35j),(1.4634999999999998+0j),(1.7560602207820308+2.3482260209567123j),(3.0800000000000005-1.2116903504194741e-27j),(3.342672990158927+2.6225738120950823j),(1+0j),(0.29510039998111537+0.7211908439267263j),(2.695212373333887+2.842872548611125j),(0.4469660419869141+4.828646494148425j),(0.18061142893103227+2.197634028890551j),(1.4888628472222003+0j),(1.5501000000000003+1.58e-06j),(1.5367708181831603+0.0028286586459817815j),(0.7466552570026472+4.308939347578825j),(1.49161+2.2300000000000002e-07j),(1.6031859234988142+0j)
17,485,(0.13040596927105116+2.7875969040266737j),(0.7199730047447046+5.900196398194522j),(1.7805966586149355+0j),(1.108427888949646+1.7954227057486056j),(1.5224593024643065+4.5482055295847213e-07j),(1.9297192619213923+3.6232222662405427j),(2.642617368362452+3.2815379164808007j),(1.1438641198029658+2.5318634035618297j),(2.4453093423108077+0.0004410104187477349j),(1.9899326787199736+0.04197948785106506j),(1.7473+0j),(1.656841822937936+2.8600679678154353j),(1.50745148239888+0j),(1.9287430916944115+3.3540904121995196j),(1.5497000000000003+0j),(4.386472361770694+0.08144396531799228j),(2.0456824919666596-1.2515682832205622e-19j),(1.4632+0j),(1.7644604902135606+2.3605188091521137j),(3.0670229315322954-1.0406129590397517e-11j),(3.3522212174152926+2.6348073075886393j),(1+0j),(0.2911810344670165+0.7413401063439433j),(2.7064515779536404+2.8558681024904553j),(0.4582245845638437+4.886625988950227j),(0.1749748240396175+2.2353201512855176j),(1.4882707411686886+0j),(1.5497097418637278+1.5896116572679326e-06j),(1.53613419056897+0.002779489287285089j),(0.7587761493362553+4.357654835003146j),(1.491237562146426+2.1995122083393225e-07j),(1.6023701690128949+0j)
18,490,(0.1301021241498625+2.8289570276462626j),(0.7357767636212229+5.9601741270830635j),(1.7808944473874162+0j),(1.0199771583334538+1.807364102274844j),(1.522147590848973+4.5346198170074403e-07j),(1.9613419488894235+3.6542205684050346j),(2.694423088535429+3.290076129621277j),(1.1395415325437077+2.547184823132352j),(2.4409778220318015+0.00021166683504210908j),(1.9839+0.042323059999999996j),(1.7466+0j),(1.6620947925188938+2.8917689815533096j),(1.5071052236415463+0j),(1.940769746021512+3.386267160381344j),(1.5494+0j),(4.355223112196555+0.0782239251762964j),(2.0445+3.385423730368188e-36j),(1.4629+0j),(1.771709055432833+2.3727210046359923j),(3.0538-4.796274303743752e-28j),(3.3634965572498+2.6548028866920563j),(1+0j),(0.2872721173859882+0.7622747488528596j),(2.7196915232069854+2.867763159901582j),(0.46992731905909346+4.944734472983505j),(0.17130816740721333+2.2615747513694826j),(1.487696851134115+0j),(1.5494000000000003+1.61e-06j),(1.5355246064407229+0.002732291402178029j),(0.7710435138659881+4.406193879020153j),(1.49089+2.14e-07j),(1.6015813785248905+0j)
19,495,(0.13001466579365695+2.8712117784447306j),(0.7519209935085792+6.0189399597873745j),(1.7802358387578079+0j),(0.931985512053312+1.832910056354248j),(1.5217265181147057+4.5210323291244274e-07j),(1.9936301242177124+3.6882937517900016j),(2.7417953763139162+3.298456572701671j),(1.1355668321998564+2.561259674769312j),(2.4368129701641634+3.0463755430908996e-05j),(1.9780216296950326+0.04269400503169814j),(1.746+0j),(1.6684926454313171+2.9236250620049136j),(1.5067620237107089+0j),(1.9541668707467743+3.417824330639357j),(1.5491+0j),(4.325186259613957+0.07354834674659241j),(2.043381294468928+2.1473516892862654e-20j),(1.4626+0j),(1.778728018208786+2.387102786523439j),(3.041164723000676+1.7854095740882526e-12j),(3.3767889151286385+2.676291791943447j),(1+0j),(0.2834587187129285+0.7835736129090047j),(2.7362803642853315+2.8781148621650314j),(0.48207424547266353+5.0029719462482625j),(0.16890257698737743+2.281865225145451j),(1.4871400116091795+0j),(1.5489755927035405+1.6368274252888198e-06j),(1.534940659888108+0.0026867144476923474j),(0.783457350591846+4.454556479629845j),(1.4905548908601967+2.1851037387429035e-07j),(1.6008183632283766+0j)
20,500,(0.12994572486193223+2.9163271159546817j),(0.7684595435600343+6.077846029893594j),(1.7785741108553161+0j),(0.8490914435269913+1.8791061908422608j),(1.5214537813821813+4.507439327455207e-07j),(2.0254059732173957+3.7204688529009102j),(2.784468438317962+3.3068501049008954j),(1.133533552209409+2.5747287791553717j),(2.432814786707894-0.00010259882008586514j),(1.9723000000000002+0.043090220000000005j),(1.7455+0j),(1.676808353888848+2.955508921574511j),(1.5064266825026238+0j),(1.9696976036229477+3.448236774645929j),(1.5487+0j),(4.297475364402765+0.07288722366078865j),(2.0423-7.2880649750981825e-37j),(1.4623+0j),(1.7855678960886474+2.403788527074137j),(3.03-6.310887241768095e-30j),(3.395225085000034+2.6918427336989272j),(1+0j),(0.27998401949565715+0.804032774610137j),(2.7562181011886784+2.886923209280804j),(0.49466536380455395+5.061338408744496j),(0.16582148719447967+2.310372375200404j),(1.486600062221723+0j),(1.5485+1.67e-06j),(1.5343809599999998+0.0026427j),(0.7960176595138289+4.502742636832224j),(1.4902100000000003+2.24e-07j),(1.6000799996217827+0j)
